"","team","elo_rank","massey_rank","colley_rank"
"1","american_university_eagles",15,2,11
"2","bucknell_bison",16,6,1
"3","buffalo_bulls",14,10,12
"4","campbell_fighting_camels",12,3,15
"5","columbia_lions",8,7,7
"6","delaware_blue_hens",17,5,19
"7","drexel_dragons",2,13,4
"8","fairfield_stags",13,12,18
"9","liberty_flames",1,14,2
"10","massachusetts_minutewomen",6,15,3
"11","nc_state_wolfpack",5,19,13
"12","north_carolina_tar_heels",11,8,10
"13","north_carolina_tar_heels",11,8,9
"14","north_carolina_tar_heels",11,9,10
"15","north_carolina_tar_heels",11,9,9
"16","princeton_tigers",7,4,6
"17","rhode_island_rams",4,16,16
"18","rhode_island_rams",4,16,17
"19","rhode_island_rams",4,17,16
"20","rhode_island_rams",4,17,17
"21","stony_brook_seawolves",3,18,5
"22","towson_tigers",10,1,8
"23","uconn_huskies",9,11,14
